Building optimizers ...
Starting Training!
Initializing ...
Training...
Iteration: 103; Percent complete: 2.6%; Average loss: 4.6592
Iteration: 104; Percent complete: 2.6%; Average loss: 4.2755
Iteration: 105; Percent complete: 2.6%; Average loss: 4.3864
Iteration: 106; Percent complete: 2.6%; Average loss: 4.3667
Iteration: 107; Percent complete: 2.7%; Average loss: 4.4591
Iteration: 108; Percent complete: 2.7%; Average loss: 4.2387
Iteration: 109; Percent complete: 2.7%; Average loss: 4.3368
Iteration: 110; Percent complete: 2.8%; Average loss: 4.3395
Iteration: 111; Percent complete: 2.8%; Average loss: 4.4159
Iteration: 112; Percent complete: 2.8%; Average loss: 4.3040
Iteration: 113; Percent complete: 2.8%; Average loss: 4.2250
Iteration: 114; Percent complete: 2.9%; Average loss: 4.4529
Iteration: 115; Percent complete: 2.9%; Average loss: 4.1905
Iteration: 116; Percent complete: 2.9%; Average loss: 4.3534
Iteration: 117; Percent complete: 2.9%; Average loss: 4.0682
Iteration: 118; Percent complete: 2.9%; Average loss: 4.1758
Iteration: 119; Percent complete: 3.0%; Average loss: 4.4377
Iteration: 120; Percent complete: 3.0%; Average loss: 4.4198
Iteration: 121; Percent complete: 3.0%; Average loss: 4.4544
Iteration: 122; Percent complete: 3.0%; Average loss: 4.2751
Iteration: 123; Percent complete: 3.1%; Average loss: 4.2563
Iteration: 124; Percent complete: 3.1%; Average loss: 4.2583
Iteration: 125; Percent complete: 3.1%; Average loss: 4.2286
Iteration: 126; Percent complete: 3.1%; Average loss: 4.3353
Iteration: 127; Percent complete: 3.2%; Average loss: 4.2637
Iteration: 128; Percent complete: 3.2%; Average loss: 4.4610
Iteration: 129; Percent complete: 3.2%; Average loss: 4.2871
Iteration: 130; Percent complete: 3.2%; Average loss: 4.5961
Iteration: 131; Percent complete: 3.3%; Average loss: 4.4597
Iteration: 132; Percent complete: 3.3%; Average loss: 4.3617
Iteration: 133; Percent complete: 3.3%; Average loss: 4.3588
Iteration: 134; Percent complete: 3.4%; Average loss: 4.0781
Iteration: 135; Percent complete: 3.4%; Average loss: 4.0470
Iteration: 136; Percent complete: 3.4%; Average loss: 4.2131
Iteration: 137; Percent complete: 3.4%; Average loss: 4.3539
Iteration: 138; Percent complete: 3.5%; Average loss: 4.0364
Iteration: 139; Percent complete: 3.5%; Average loss: 4.0977
Iteration: 140; Percent complete: 3.5%; Average loss: 4.3055
Iteration: 141; Percent complete: 3.5%; Average loss: 4.4188
Iteration: 142; Percent complete: 3.5%; Average loss: 4.3577
Iteration: 143; Percent complete: 3.6%; Average loss: 4.1387
Iteration: 144; Percent complete: 3.6%; Average loss: 4.2603
Iteration: 145; Percent complete: 3.6%; Average loss: 4.3069
Iteration: 146; Percent complete: 3.6%; Average loss: 3.9263
Iteration: 147; Percent complete: 3.7%; Average loss: 4.0937
Iteration: 148; Percent complete: 3.7%; Average loss: 4.0171
Iteration: 149; Percent complete: 3.7%; Average loss: 4.4323
Iteration: 150; Percent complete: 3.8%; Average loss: 4.3131
Iteration: 151; Percent complete: 3.8%; Average loss: 4.1694
Iteration: 152; Percent complete: 3.8%; Average loss: 4.1641
Iteration: 153; Percent complete: 3.8%; Average loss: 4.3573
Iteration: 154; Percent complete: 3.9%; Average loss: 4.6894
Iteration: 155; Percent complete: 3.9%; Average loss: 4.0676
Iteration: 156; Percent complete: 3.9%; Average loss: 3.9979
Iteration: 157; Percent complete: 3.9%; Average loss: 4.3708
Iteration: 158; Percent complete: 4.0%; Average loss: 4.2940
Iteration: 159; Percent complete: 4.0%; Average loss: 4.5628
Iteration: 160; Percent complete: 4.0%; Average loss: 4.1766
Iteration: 161; Percent complete: 4.0%; Average loss: 4.2232
Iteration: 162; Percent complete: 4.0%; Average loss: 4.1497
Iteration: 163; Percent complete: 4.1%; Average loss: 4.0667
Iteration: 164; Percent complete: 4.1%; Average loss: 4.1577
Iteration: 165; Percent complete: 4.1%; Average loss: 4.3063
Iteration: 166; Percent complete: 4.2%; Average loss: 4.6039
Iteration: 167; Percent complete: 4.2%; Average loss: 4.0934
Iteration: 168; Percent complete: 4.2%; Average loss: 4.1553
Iteration: 169; Percent complete: 4.2%; Average loss: 4.2327
Iteration: 170; Percent complete: 4.2%; Average loss: 4.0899
Iteration: 171; Percent complete: 4.3%; Average loss: 4.2687
Iteration: 172; Percent complete: 4.3%; Average loss: 3.8961
Iteration: 173; Percent complete: 4.3%; Average loss: 4.2008
Iteration: 174; Percent complete: 4.3%; Average loss: 4.3076
Iteration: 175; Percent complete: 4.4%; Average loss: 3.9073
Iteration: 176; Percent complete: 4.4%; Average loss: 3.9602
Iteration: 177; Percent complete: 4.4%; Average loss: 4.4091
Iteration: 178; Percent complete: 4.5%; Average loss: 4.1705
Iteration: 179; Percent complete: 4.5%; Average loss: 4.1564
Iteration: 180; Percent complete: 4.5%; Average loss: 4.4662
Iteration: 181; Percent complete: 4.5%; Average loss: 4.1623
Iteration: 182; Percent complete: 4.5%; Average loss: 4.2700
Iteration: 183; Percent complete: 4.6%; Average loss: 4.2202
Iteration: 184; Percent complete: 4.6%; Average loss: 4.0464
Iteration: 185; Percent complete: 4.6%; Average loss: 4.4280
Iteration: 186; Percent complete: 4.7%; Average loss: 4.1644
Iteration: 187; Percent complete: 4.7%; Average loss: 4.1809
Iteration: 188; Percent complete: 4.7%; Average loss: 3.9842
Iteration: 189; Percent complete: 4.7%; Average loss: 4.2076
Iteration: 190; Percent complete: 4.8%; Average loss: 4.1191
Iteration: 191; Percent complete: 4.8%; Average loss: 4.1388
Iteration: 192; Percent complete: 4.8%; Average loss: 4.1048
Iteration: 193; Percent complete: 4.8%; Average loss: 3.9805
Iteration: 194; Percent complete: 4.9%; Average loss: 4.2615
Iteration: 195; Percent complete: 4.9%; Average loss: 4.0902
Iteration: 196; Percent complete: 4.9%; Average loss: 4.1885
Iteration: 197; Percent complete: 4.9%; Average loss: 4.0405
Iteration: 198; Percent complete: 5.0%; Average loss: 4.0115
Iteration: 199; Percent complete: 5.0%; Average loss: 4.1640
Iteration: 200; Percent complete: 5.0%; Average loss: 3.7907
Iteration: 201; Percent complete: 5.0%; Average loss: 3.9464
Iteration: 202; Percent complete: 5.1%; Average loss: 3.9682
Iteration: 203; Percent complete: 5.1%; Average loss: 3.9401
Iteration: 204; Percent complete: 5.1%; Average loss: 4.0894
Iteration: 205; Percent complete: 5.1%; Average loss: 4.2284
Iteration: 206; Percent complete: 5.1%; Average loss: 4.0751
Iteration: 207; Percent complete: 5.2%; Average loss: 4.1207
Iteration: 208; Percent complete: 5.2%; Average loss: 4.0021
Iteration: 209; Percent complete: 5.2%; Average loss: 4.2935
Iteration: 210; Percent complete: 5.2%; Average loss: 4.1645
Iteration: 211; Percent complete: 5.3%; Average loss: 3.7387
Iteration: 212; Percent complete: 5.3%; Average loss: 4.1155
Iteration: 213; Percent complete: 5.3%; Average loss: 4.0068
Iteration: 214; Percent complete: 5.3%; Average loss: 3.9708
Iteration: 215; Percent complete: 5.4%; Average loss: 4.0272
Iteration: 216; Percent complete: 5.4%; Average loss: 3.9088
Iteration: 217; Percent complete: 5.4%; Average loss: 3.9149
Iteration: 218; Percent complete: 5.5%; Average loss: 3.9135
Iteration: 219; Percent complete: 5.5%; Average loss: 4.2162
Iteration: 220; Percent complete: 5.5%; Average loss: 3.8152
Iteration: 221; Percent complete: 5.5%; Average loss: 4.1341
Iteration: 222; Percent complete: 5.5%; Average loss: 3.9869
Iteration: 223; Percent complete: 5.6%; Average loss: 3.7355
Iteration: 224; Percent complete: 5.6%; Average loss: 3.8383
Iteration: 225; Percent complete: 5.6%; Average loss: 4.0350
Iteration: 226; Percent complete: 5.7%; Average loss: 4.2387
Iteration: 227; Percent complete: 5.7%; Average loss: 4.1893
Iteration: 228; Percent complete: 5.7%; Average loss: 3.9024
Iteration: 229; Percent complete: 5.7%; Average loss: 4.1635
Iteration: 230; Percent complete: 5.8%; Average loss: 4.0944
Iteration: 231; Percent complete: 5.8%; Average loss: 4.0919
Iteration: 232; Percent complete: 5.8%; Average loss: 4.0543
Iteration: 233; Percent complete: 5.8%; Average loss: 4.1899
Iteration: 234; Percent complete: 5.9%; Average loss: 4.1889
Iteration: 235; Percent complete: 5.9%; Average loss: 4.1466
Iteration: 236; Percent complete: 5.9%; Average loss: 4.0188
Iteration: 237; Percent complete: 5.9%; Average loss: 3.8606
Iteration: 238; Percent complete: 5.9%; Average loss: 3.9268
Iteration: 239; Percent complete: 6.0%; Average loss: 3.8528
Iteration: 240; Percent complete: 6.0%; Average loss: 4.0856
Iteration: 241; Percent complete: 6.0%; Average loss: 3.8977
Iteration: 242; Percent complete: 6.0%; Average loss: 4.0576
Iteration: 243; Percent complete: 6.1%; Average loss: 4.0286
Iteration: 244; Percent complete: 6.1%; Average loss: 4.0494
Iteration: 245; Percent complete: 6.1%; Average loss: 3.8307
Iteration: 246; Percent complete: 6.2%; Average loss: 4.2649
Iteration: 247; Percent complete: 6.2%; Average loss: 4.3092
Iteration: 248; Percent complete: 6.2%; Average loss: 4.0429
Iteration: 249; Percent complete: 6.2%; Average loss: 4.1422
Iteration: 250; Percent complete: 6.2%; Average loss: 3.8520
Iteration: 251; Percent complete: 6.3%; Average loss: 3.8878
Iteration: 252; Percent complete: 6.3%; Average loss: 3.9209
Iteration: 253; Percent complete: 6.3%; Average loss: 4.1746
Iteration: 254; Percent complete: 6.3%; Average loss: 3.9741
Iteration: 255; Percent complete: 6.4%; Average loss: 4.0337
Iteration: 256; Percent complete: 6.4%; Average loss: 4.0081
Iteration: 257; Percent complete: 6.4%; Average loss: 3.8777
Iteration: 258; Percent complete: 6.5%; Average loss: 3.9328
Iteration: 259; Percent complete: 6.5%; Average loss: 4.1557
Iteration: 260; Percent complete: 6.5%; Average loss: 4.1498
Iteration: 261; Percent complete: 6.5%; Average loss: 3.7565
Iteration: 262; Percent complete: 6.6%; Average loss: 3.8641
Iteration: 263; Percent complete: 6.6%; Average loss: 3.9983
Iteration: 264; Percent complete: 6.6%; Average loss: 3.9177
Iteration: 265; Percent complete: 6.6%; Average loss: 3.8905
Iteration: 266; Percent complete: 6.7%; Average loss: 4.0406
Iteration: 267; Percent complete: 6.7%; Average loss: 3.8224
Iteration: 268; Percent complete: 6.7%; Average loss: 4.1651
Iteration: 269; Percent complete: 6.7%; Average loss: 3.9943
Iteration: 270; Percent complete: 6.8%; Average loss: 4.0753
Iteration: 271; Percent complete: 6.8%; Average loss: 4.1997
Iteration: 272; Percent complete: 6.8%; Average loss: 3.7689
Iteration: 273; Percent complete: 6.8%; Average loss: 3.8892
Iteration: 274; Percent complete: 6.9%; Average loss: 4.0087
Iteration: 275; Percent complete: 6.9%; Average loss: 4.2574
Iteration: 276; Percent complete: 6.9%; Average loss: 4.0444
Iteration: 277; Percent complete: 6.9%; Average loss: 4.1116
Iteration: 278; Percent complete: 7.0%; Average loss: 4.0758
Iteration: 279; Percent complete: 7.0%; Average loss: 4.0745
Iteration: 280; Percent complete: 7.0%; Average loss: 3.9876
Iteration: 281; Percent complete: 7.0%; Average loss: 3.8804
Iteration: 282; Percent complete: 7.0%; Average loss: 3.9902
Iteration: 283; Percent complete: 7.1%; Average loss: 4.1080
Iteration: 284; Percent complete: 7.1%; Average loss: 4.0217
Iteration: 285; Percent complete: 7.1%; Average loss: 3.8608
Iteration: 286; Percent complete: 7.1%; Average loss: 3.9726
Iteration: 287; Percent complete: 7.2%; Average loss: 4.1873
Iteration: 288; Percent complete: 7.2%; Average loss: 4.1323
Iteration: 289; Percent complete: 7.2%; Average loss: 3.7972
Iteration: 290; Percent complete: 7.2%; Average loss: 4.1789
Iteration: 291; Percent complete: 7.3%; Average loss: 3.9193
Iteration: 292; Percent complete: 7.3%; Average loss: 3.7718
Iteration: 293; Percent complete: 7.3%; Average loss: 3.8872
Iteration: 294; Percent complete: 7.3%; Average loss: 4.0558
Iteration: 295; Percent complete: 7.4%; Average loss: 4.0344
Iteration: 296; Percent complete: 7.4%; Average loss: 3.9555
Iteration: 297; Percent complete: 7.4%; Average loss: 4.1128
Iteration: 298; Percent complete: 7.4%; Average loss: 3.9984
Iteration: 299; Percent complete: 7.5%; Average loss: 3.7621
Iteration: 300; Percent complete: 7.5%; Average loss: 4.0099
Iteration: 301; Percent complete: 7.5%; Average loss: 3.7895
Iteration: 302; Percent complete: 7.5%; Average loss: 3.9544
Iteration: 303; Percent complete: 7.6%; Average loss: 3.7485
Iteration: 304; Percent complete: 7.6%; Average loss: 4.0050
Iteration: 305; Percent complete: 7.6%; Average loss: 4.2162
Iteration: 306; Percent complete: 7.6%; Average loss: 3.7924
Iteration: 307; Percent complete: 7.7%; Average loss: 3.9125
Iteration: 308; Percent complete: 7.7%; Average loss: 3.9367
Iteration: 309; Percent complete: 7.7%; Average loss: 3.7773
Iteration: 310; Percent complete: 7.8%; Average loss: 3.9309
Iteration: 311; Percent complete: 7.8%; Average loss: 3.8981
Iteration: 312; Percent complete: 7.8%; Average loss: 3.8885
Iteration: 313; Percent complete: 7.8%; Average loss: 3.6808
Iteration: 314; Percent complete: 7.8%; Average loss: 4.1616
Iteration: 315; Percent complete: 7.9%; Average loss: 3.6033
Iteration: 316; Percent complete: 7.9%; Average loss: 3.6871
Iteration: 317; Percent complete: 7.9%; Average loss: 3.8907
Iteration: 318; Percent complete: 8.0%; Average loss: 3.9453
Iteration: 319; Percent complete: 8.0%; Average loss: 3.6330
Iteration: 320; Percent complete: 8.0%; Average loss: 4.2567
Iteration: 321; Percent complete: 8.0%; Average loss: 3.9093
Iteration: 322; Percent complete: 8.1%; Average loss: 3.8676
Iteration: 323; Percent complete: 8.1%; Average loss: 4.0123
Iteration: 324; Percent complete: 8.1%; Average loss: 3.7144
Iteration: 325; Percent complete: 8.1%; Average loss: 3.9279
Iteration: 326; Percent complete: 8.2%; Average loss: 3.9642
Iteration: 327; Percent complete: 8.2%; Average loss: 3.8754
Iteration: 328; Percent complete: 8.2%; Average loss: 3.8246
Iteration: 329; Percent complete: 8.2%; Average loss: 4.2284
Iteration: 330; Percent complete: 8.2%; Average loss: 3.8380
Iteration: 331; Percent complete: 8.3%; Average loss: 3.9910
Iteration: 332; Percent complete: 8.3%; Average loss: 3.8464
Iteration: 333; Percent complete: 8.3%; Average loss: 3.7730
Iteration: 334; Percent complete: 8.3%; Average loss: 3.9393
Iteration: 335; Percent complete: 8.4%; Average loss: 4.1072
Iteration: 336; Percent complete: 8.4%; Average loss: 3.7408
Iteration: 337; Percent complete: 8.4%; Average loss: 3.8387
Iteration: 338; Percent complete: 8.5%; Average loss: 3.7099
Iteration: 339; Percent complete: 8.5%; Average loss: 3.7996
Iteration: 340; Percent complete: 8.5%; Average loss: 4.0305
Iteration: 341; Percent complete: 8.5%; Average loss: 3.4647
Iteration: 342; Percent complete: 8.6%; Average loss: 3.6739
Iteration: 343; Percent complete: 8.6%; Average loss: 4.0340
Iteration: 344; Percent complete: 8.6%; Average loss: 3.9087
Iteration: 345; Percent complete: 8.6%; Average loss: 3.8185
Iteration: 346; Percent complete: 8.6%; Average loss: 3.7416
Iteration: 347; Percent complete: 8.7%; Average loss: 3.7391
Iteration: 348; Percent complete: 8.7%; Average loss: 3.9041
Iteration: 349; Percent complete: 8.7%; Average loss: 4.0729
Iteration: 350; Percent complete: 8.8%; Average loss: 3.7567
Iteration: 351; Percent complete: 8.8%; Average loss: 3.9210
Iteration: 352; Percent complete: 8.8%; Average loss: 3.9647
Iteration: 353; Percent complete: 8.8%; Average loss: 3.7501
Iteration: 354; Percent complete: 8.8%; Average loss: 3.9534
Iteration: 355; Percent complete: 8.9%; Average loss: 3.9483
Iteration: 356; Percent complete: 8.9%; Average loss: 3.9340
Iteration: 357; Percent complete: 8.9%; Average loss: 4.1700
Iteration: 358; Percent complete: 8.9%; Average loss: 3.7914
Iteration: 359; Percent complete: 9.0%; Average loss: 3.8756
Iteration: 360; Percent complete: 9.0%; Average loss: 3.9354
Iteration: 361; Percent complete: 9.0%; Average loss: 3.8447
Iteration: 362; Percent complete: 9.0%; Average loss: 3.7062
Iteration: 363; Percent complete: 9.1%; Average loss: 3.8150
Iteration: 364; Percent complete: 9.1%; Average loss: 3.8532
Iteration: 365; Percent complete: 9.1%; Average loss: 4.3229
Iteration: 366; Percent complete: 9.2%; Average loss: 3.7853
Iteration: 367; Percent complete: 9.2%; Average loss: 3.8653
Iteration: 368; Percent complete: 9.2%; Average loss: 3.8169
Iteration: 369; Percent complete: 9.2%; Average loss: 3.9274
Iteration: 370; Percent complete: 9.2%; Average loss: 3.9740
Iteration: 371; Percent complete: 9.3%; Average loss: 4.2224
Iteration: 372; Percent complete: 9.3%; Average loss: 3.8401
Iteration: 373; Percent complete: 9.3%; Average loss: 3.8739
Iteration: 374; Percent complete: 9.3%; Average loss: 3.7058
Iteration: 375; Percent complete: 9.4%; Average loss: 3.8239
Iteration: 376; Percent complete: 9.4%; Average loss: 3.8740
Iteration: 377; Percent complete: 9.4%; Average loss: 3.5742
Iteration: 378; Percent complete: 9.4%; Average loss: 3.5604
Iteration: 379; Percent complete: 9.5%; Average loss: 3.4507
Iteration: 380; Percent complete: 9.5%; Average loss: 3.6849
Iteration: 381; Percent complete: 9.5%; Average loss: 4.3926
Iteration: 382; Percent complete: 9.6%; Average loss: 3.7128
Iteration: 383; Percent complete: 9.6%; Average loss: 4.1080
Iteration: 384; Percent complete: 9.6%; Average loss: 3.7596
Iteration: 385; Percent complete: 9.6%; Average loss: 3.5909
Iteration: 386; Percent complete: 9.7%; Average loss: 3.7839
Iteration: 387; Percent complete: 9.7%; Average loss: 3.8897
Iteration: 388; Percent complete: 9.7%; Average loss: 3.8698
Iteration: 389; Percent complete: 9.7%; Average loss: 3.8509
Iteration: 390; Percent complete: 9.8%; Average loss: 4.0505
Iteration: 391; Percent complete: 9.8%; Average loss: 3.7885
Iteration: 392; Percent complete: 9.8%; Average loss: 3.8153
Iteration: 393; Percent complete: 9.8%; Average loss: 3.8854
Iteration: 394; Percent complete: 9.8%; Average loss: 3.6828
Iteration: 395; Percent complete: 9.9%; Average loss: 3.7642
Iteration: 396; Percent complete: 9.9%; Average loss: 3.9221
Iteration: 397; Percent complete: 9.9%; Average loss: 3.8160
Iteration: 398; Percent complete: 10.0%; Average loss: 3.9153
Iteration: 399; Percent complete: 10.0%; Average loss: 4.0267
Iteration: 400; Percent complete: 10.0%; Average loss: 3.9741
Iteration: 401; Percent complete: 10.0%; Average loss: 3.7641
Iteration: 402; Percent complete: 10.1%; Average loss: 4.0219
Iteration: 403; Percent complete: 10.1%; Average loss: 3.7568
Iteration: 404; Percent complete: 10.1%; Average loss: 3.7921
Iteration: 405; Percent complete: 10.1%; Average loss: 3.8467
Iteration: 406; Percent complete: 10.2%; Average loss: 3.6128
Iteration: 407; Percent complete: 10.2%; Average loss: 3.8642
Iteration: 408; Percent complete: 10.2%; Average loss: 3.8683
Iteration: 409; Percent complete: 10.2%; Average loss: 3.9425
Iteration: 410; Percent complete: 10.2%; Average loss: 3.9776
Iteration: 411; Percent complete: 10.3%; Average loss: 3.5781
Iteration: 412; Percent complete: 10.3%; Average loss: 3.6023
Iteration: 413; Percent complete: 10.3%; Average loss: 3.9238
Iteration: 414; Percent complete: 10.3%; Average loss: 3.6654
Iteration: 415; Percent complete: 10.4%; Average loss: 3.8156
Iteration: 416; Percent complete: 10.4%; Average loss: 3.9746
Iteration: 417; Percent complete: 10.4%; Average loss: 3.7848
Iteration: 418; Percent complete: 10.4%; Average loss: 3.8606
Iteration: 419; Percent complete: 10.5%; Average loss: 3.8126
Iteration: 420; Percent complete: 10.5%; Average loss: 3.8923
Iteration: 421; Percent complete: 10.5%; Average loss: 3.8151
Iteration: 422; Percent complete: 10.5%; Average loss: 3.7192
Iteration: 423; Percent complete: 10.6%; Average loss: 3.6842
Iteration: 424; Percent complete: 10.6%; Average loss: 3.7005
Iteration: 425; Percent complete: 10.6%; Average loss: 3.9018
Iteration: 426; Percent complete: 10.7%; Average loss: 3.4700
Iteration: 427; Percent complete: 10.7%; Average loss: 3.7435
Iteration: 428; Percent complete: 10.7%; Average loss: 3.7594
Iteration: 429; Percent complete: 10.7%; Average loss: 3.8319
Iteration: 430; Percent complete: 10.8%; Average loss: 4.0011
Iteration: 431; Percent complete: 10.8%; Average loss: 3.8325
Iteration: 432; Percent complete: 10.8%; Average loss: 3.4338
Iteration: 433; Percent complete: 10.8%; Average loss: 3.8852
Iteration: 434; Percent complete: 10.8%; Average loss: 3.6654
Iteration: 435; Percent complete: 10.9%; Average loss: 3.7588
Iteration: 436; Percent complete: 10.9%; Average loss: 3.6790
Iteration: 437; Percent complete: 10.9%; Average loss: 3.9455
Iteration: 438; Percent complete: 10.9%; Average loss: 3.5013
Iteration: 439; Percent complete: 11.0%; Average loss: 4.0825
Iteration: 440; Percent complete: 11.0%; Average loss: 3.6932
Iteration: 441; Percent complete: 11.0%; Average loss: 3.7632
Iteration: 442; Percent complete: 11.1%; Average loss: 3.7207
Iteration: 443; Percent complete: 11.1%; Average loss: 3.4230
Iteration: 444; Percent complete: 11.1%; Average loss: 3.6710
Iteration: 445; Percent complete: 11.1%; Average loss: 3.6966
Iteration: 446; Percent complete: 11.2%; Average loss: 3.6974
Iteration: 447; Percent complete: 11.2%; Average loss: 3.6069
Iteration: 448; Percent complete: 11.2%; Average loss: 3.6097
Iteration: 449; Percent complete: 11.2%; Average loss: 3.9271
